Epoch,Ep_Reward
0.0,-306.06962177660415
1.0,-79.7799125233139
2.0,-192.53897733432694
3.0,-221.50611475503584
4.0,-198.88829305455351
5.0,-118.17475416667713
6.0,-67.7011889804306
7.0,-349.18240520642325
8.0,-57.83592465247658
9.0,-457.14540106400193
10.0,-82.91324323649053
11.0,-274.732878937798
12.0,-229.33278602114265
13.0,-197.66751321585443
14.0,-424.8656398413337
15.0,-387.2104547016638
16.0,-422.0231108747824
17.0,-78.23179253757897
18.0,-66.47659064117438
19.0,-314.7783365520428
20.0,-432.99807926100596
21.0,-333.60360488913494
22.0,-166.02407224461234
23.0,-261.5121865631198
24.0,-315.51927471498743
25.0,-122.53612996876876
26.0,-275.2464372286858
27.0,-361.3062042040711
28.0,-374.506826105317
29.0,-208.86785968019046
30.0,-192.54417166240296
31.0,-261.8179452064553
32.0,-127.72829615623908
33.0,-315.1598711709911
34.0,-350.7960110071816
35.0,-535.053021037266
36.0,-296.95720162717424
37.0,-241.0946960690284
38.0,1.1251904756295374
39.0,-112.08724135979382
40.0,-154.16228962387834
41.0,-426.5723963052291
42.0,-60.01658347264005
43.0,-248.7482959256518
44.0,-82.88208574215699
45.0,-167.5740902565247
46.0,-312.7202995804296
47.0,-85.16433007305119
48.0,-105.48019985647248
49.0,-112.28381927471783
50.0,-236.34620787592303
51.0,-72.74652064489797
52.0,-118.46812157512397
53.0,-74.50835599901058
54.0,-255.02381152232132
55.0,-116.0510305869833
56.0,-74.05772216941808
57.0,-274.7384313411763
58.0,-187.92742461469214
59.0,-157.7043319751873
60.0,-110.44333918622864
61.0,-357.888340601612
62.0,-337.50209072129417
63.0,-350.71689741400246
64.0,-377.9004869104508
65.0,-102.61462179434278
66.0,-151.41111157252303
67.0,-52.826651206463254
68.0,-153.72258464673115
69.0,-318.12033824032267
70.0,-164.75258720505977
71.0,-57.56139521927453
72.0,-100.02964903630901
73.0,-339.7404506895924
74.0,-283.5861178464952
75.0,-376.9969128965278
76.0,-115.77408617609012
77.0,-176.27875767302078
78.0,-258.51768379857447
79.0,-115.80197233640811
