Epoch,Ep_Reward
0.0,-241.49606598445877
1.0,-38.23919646928481
2.0,-214.09201948737672
3.0,-112.38018075816063
4.0,-220.8241079784006
5.0,-403.15400473663726
6.0,-407.7882136550881
7.0,-11.255442762642573
8.0,-427.20120162819745
9.0,-475.0254179672613
10.0,-390.89589913619506
11.0,-98.54994242578806
12.0,-288.5230475646823
13.0,-273.8610567141416
14.0,-327.05755069617317
15.0,-394.70059877730796
16.0,-197.90340352882865
17.0,-95.44384825094231
18.0,-278.24760264388783
19.0,-82.4094498232066
20.0,-148.38016444088163
21.0,-185.8231285056295
22.0,-348.01272322821865
23.0,-75.45702799713727
24.0,-246.46659095125628
25.0,-112.02057064712639
26.0,-230.80250813575728
27.0,-410.846160856062
28.0,-86.0545465352081
29.0,-96.41929949448682
30.0,-106.96108165355943
31.0,-145.93671410504766
32.0,-182.27149675834528
33.0,-63.26169479682303
34.0,-357.0548643177285
35.0,-344.7864311377293
36.0,-100.86724514705928
37.0,-303.1255266206131
38.0,-269.9900834492441
39.0,-101.5649904000895
40.0,-102.88059190042867
41.0,-274.9356767407611
42.0,-323.512846643281
43.0,-125.60051469953589
44.0,-75.99156051583643
45.0,-480.4936771631528
46.0,-447.4034769009047
47.0,-18.747715522518547
48.0,-176.78492358469924
49.0,-395.64975881584104
50.0,-133.26492880979322
51.0,-49.41864608194534
52.0,-394.3910044818681
53.0,8.77747452920326
54.0,-157.44080498069533
55.0,-351.5205536192866
56.0,-131.41046709896352
57.0,-132.03461558059567
58.0,-269.0398300649597
59.0,-127.64231188818866
60.0,-67.14056790395021
61.0,-101.56497318473708
62.0,-73.41920164727854
63.0,-126.24334638619216
64.0,-339.53659986251205
65.0,-366.9105095419183
66.0,-189.47824342016176
67.0,-115.84689399107128
68.0,-238.3024450981574
69.0,-104.01077510666096
70.0,-338.3282535733732
71.0,-108.26363006659282
72.0,-81.35626293937744
73.0,-96.08448346597491
74.0,-225.87387265613012
75.0,-109.26616772090412
76.0,-175.32433481580497
77.0,-299.1230370108002
78.0,-366.9737217919866
79.0,-306.537500683617
80.0,-43.9090038879114
81.0,-48.58522145992444
82.0,-283.8309501708853
83.0,-65.73967940791779
84.0,-59.97353956172607
85.0,-73.16179186956282
86.0,-402.9830526491171
87.0,-353.5838133732993
88.0,-289.4312980586602
89.0,-332.32106836147113
90.0,-188.0235197450986
91.0,-228.09791900106055
92.0,-63.809277103687336
93.0,-116.93159025366654
94.0,-258.3461222097897
95.0,-162.5066721517271
96.0,-320.65781242578305
97.0,-196.94087343345842
98.0,-178.84502199661878
99.0,-196.3022518221608
100.0,-223.13590384026202
101.0,-336.3103240755445
102.0,-73.55365843684888
103.0,-183.6702400593054
104.0,-108.69394120481682
105.0,-263.9553093864688
106.0,-267.93256324686547
107.0,-124.14299408541291
108.0,-205.9637103430549
109.0,-59.62617481295674
110.0,-137.624022109019
111.0,-54.88175599229642
112.0,-73.4282269494636
113.0,-233.91805470697733
114.0,-267.04666420693275
115.0,-95.92967559040187
116.0,-101.64026909181688
117.0,-79.8614520496532
118.0,-160.97604058493397
119.0,-64.87924668726407
120.0,-116.10739667625377
121.0,-109.80283080145475
122.0,-322.0055821030507
123.0,-292.3772854477942
124.0,-98.43802256531775
125.0,-144.15186769430352
126.0,-70.50522737168455
127.0,-158.0933606778737
128.0,-290.45163551811845
129.0,-227.8648249990971
130.0,-281.54542682042074
131.0,-135.3581347434605
132.0,-217.7012147430026
133.0,-43.12987611189805
134.0,-302.5475509237673
135.0,-390.2701854433796
136.0,-87.95903869499857
137.0,-293.4850601650404
138.0,-69.96082864216332
139.0,-273.8148937236451
140.0,-274.4226146916229
141.0,-84.55891414645643
142.0,-90.22692941967266
143.0,-69.94458744244852
144.0,-72.77522103760414
145.0,-126.61502185280949
146.0,-186.12856744186
147.0,-165.12751907147577
148.0,-101.41248116048929
149.0,41.75853989765707
150.0,-157.9055969463814
151.0,-177.17475445569556
152.0,-140.72212416556823
153.0,-80.43562971677686
154.0,-94.9382582074372
155.0,-161.500772966195
156.0,-78.45691685576784
157.0,-244.86984942026737
158.0,-84.20731409753577
159.0,-308.93350596515864
160.0,-136.78727238823902
161.0,-106.39566251454731
162.0,-266.0884440483529
163.0,-261.2705026475382
164.0,-74.49855148502328
165.0,-23.85437402700842
166.0,-271.62484721471424
167.0,-29.370934770844286
168.0,-86.67783203759497
169.0,-129.14994179981534
170.0,-172.50939605442233
171.0,-59.597116660860365
172.0,-107.5883516424905
173.0,-84.55114404785674
174.0,-159.56428044474112
175.0,-91.6936702082213
176.0,-285.1328565078288
177.0,-356.0077160435465
178.0,-84.34105932815085
179.0,-132.5027833741077
180.0,-292.2662917274324
181.0,-190.27234180912086
182.0,-152.60172958413753
183.0,-120.28223372377013
184.0,-130.60507366983364
185.0,-95.42127015495386
186.0,-85.41543863576086
187.0,-111.75874570272012
188.0,-90.15581947898718
189.0,-200.87862800386483
190.0,-52.51743013547343
191.0,-54.58627518795765
192.0,-123.40445453971356
193.0,-116.89415329337123
194.0,-203.18189052448497
195.0,-114.46703230793935
196.0,-303.1435492444904
197.0,-108.93850354346121
198.0,-278.57330165462577
199.0,-71.8618846167935
200.0,-271.66170798185533
201.0,-253.80300728447727
202.0,-109.15808243126472
203.0,-175.9643774361577
204.0,-119.46538650767212
205.0,-110.90761291767913
206.0,-289.15153206761454
207.0,-123.1364245731408
208.0,-104.15083020362155
209.0,-126.5225440314783
210.0,-109.36706864542185
211.0,-98.45588566224545
212.0,-328.1054795802261
213.0,-133.61922904847688
214.0,-260.2995919555533
215.0,-97.900674639936
216.0,-76.88781334131512
217.0,-202.8236385061751
218.0,-122.849283116382
219.0,-123.62238117881449
220.0,-281.2933794403792
221.0,-228.8321033894703
222.0,-87.01222563919501
223.0,-73.30244833492196
224.0,-129.14391312724163
225.0,-226.99295951016973
226.0,56.21449648098892
227.0,-66.47507774245729
228.0,-75.40535002470122
229.0,-125.23042769287721
230.0,-62.01813833561397
231.0,-189.7707765667106
232.0,-173.3721551726568
233.0,-102.80383417095382
234.0,-101.63199185872938
235.0,-168.19563185185598
236.0,-310.41025085895507
237.0,-110.22326847536334
238.0,-259.0075448471949
239.0,-140.70038880325097
240.0,-88.59037919402428
241.0,-219.2187934185307
242.0,-125.92655056855506
243.0,-55.478920006095
244.0,-312.59386738218484
245.0,-198.69858941016832
246.0,-39.45669614503993
247.0,-271.35995419999404
248.0,-103.15920207280328
249.0,-101.10708145832345
250.0,-272.65665902103814
251.0,-188.87770847151495
252.0,-175.2784144457408
253.0,-104.37338234304309
254.0,-182.7125834528572
255.0,-42.099950173520895
256.0,-83.12618335758366
257.0,-122.52601739466375
258.0,-201.7723733241864
259.0,-135.52616581499316
260.0,-107.82428276029026
261.0,-49.01658689655923
262.0,-131.97052928198912
263.0,-122.4529626087313
264.0,-148.9133531789212
265.0,-181.09056717483867
266.0,-113.59798379265706
267.0,-36.175640645736735
268.0,-123.57845865981017
269.0,-133.9705708953487
270.0,-165.9006295891006
271.0,-155.34512662139886
272.0,-137.3659513002021
273.0,-120.46612974717357
274.0,-155.03864956186973
275.0,-149.01408234073256
276.0,-154.077197312157
277.0,-177.1940454396038
278.0,-98.00918731155627
279.0,-151.7267997243736
280.0,-163.8855407867089
281.0,-150.2847286198002
282.0,-152.2101208557291
283.0,-133.69363223680477
284.0,-140.46045753950213
285.0,-134.4127343530142
286.0,-110.31942146850054
287.0,-123.38946963572243
288.0,-137.72985870050732
289.0,-167.6625248006789
290.0,-12.538387089915062
291.0,-122.29347325275032
292.0,-152.87199447623192
293.0,-17.44589479351353
294.0,-27.056198922635872
295.0,-99.98083831521842
296.0,-165.70203897040372
297.0,-172.26268719909976
298.0,-103.06828409564375
299.0,-139.21805560023307
300.0,-118.36910487985025
301.0,-116.80255487618103
302.0,-202.94914521676992
303.0,-226.6574317006441
304.0,-159.4321307703413
305.0,-92.66761871816084
306.0,-130.1414218489442
307.0,-185.15197558194777
308.0,-89.89257256993051
309.0,-123.61190574732467
310.0,-139.58345944921274
311.0,-169.28398573296326
312.0,-110.48110138115203
313.0,-117.5249355467198
314.0,-28.665850755381
315.0,-151.14181942600624
316.0,-144.30496530867276
317.0,-114.73264228944782
318.0,-24.96575982592168
319.0,-38.864436129408034
320.0,-156.81213636014098
321.0,-150.4781615513974
322.0,-183.5967618033203
323.0,-100.20159895666615
324.0,-125.99288833364005
325.0,-65.91493921255463
326.0,-160.99453391878114
327.0,-111.31898807447607
328.0,-113.7844548745617
329.0,-193.516072704752
330.0,-154.16844694590492
331.0,-157.51964259317566
332.0,-139.02961516542203
333.0,-212.13534817114703
334.0,-121.02021131936846
335.0,-121.10960870184576
336.0,-160.6742202324903
337.0,-107.71864963952598
338.0,-131.9303183753638
339.0,-119.69068562942192
340.0,-102.0588480011578
341.0,-154.93185996241868
342.0,-121.07225381767259
343.0,-160.81700001952132
344.0,-158.26440303533312
345.0,-53.319930126443154
346.0,-152.80218943311718
347.0,-159.45905367436194
348.0,-143.863602652308
349.0,-122.18433084466218
350.0,-134.10514475712978
351.0,-182.00266702970197
352.0,-113.55265110511576
353.0,-135.3695578785782
354.0,-139.01559053262145
355.0,-196.90617024822433
356.0,-188.87528231404798
357.0,-108.50056927987137
358.0,-121.3279040670281
359.0,-153.77430872708163
360.0,-365.91380651737614
361.0,-96.31768835674183
362.0,-89.1038663070548
363.0,-142.23027513892052
364.0,-123.62031941992083
365.0,-149.8086506870695
366.0,-107.13589685073737
367.0,-114.71940837220993
368.0,-133.2555325958531
369.0,-117.61734326131244
370.0,-115.31698765716834
371.0,-136.54112594164428
372.0,-93.46310064536402
373.0,-96.24884625325248
374.0,-123.38926268442464
375.0,-205.31898867084885
376.0,-124.8299338800166
377.0,-142.98417200246905
378.0,-121.48775739747975
379.0,-54.17512434481026
380.0,-139.149128666421
381.0,-52.48837342479979
382.0,-123.03025176499568
383.0,-175.0965049568122
384.0,-92.65575622573053
385.0,-114.79495470557757
386.0,-177.7667634310425
387.0,-161.1969046965669
388.0,-152.89213151510197
389.0,-158.24136845662778
390.0,-153.70411155430568
391.0,-127.09530807067966
392.0,-122.09617354725776
393.0,-175.70848020188222
394.0,-115.97553701223723
395.0,-121.02921117745592
396.0,-126.35680125712716
397.0,-91.36673411559866
398.0,-141.99454836145347
399.0,-161.40423953111707
400.0,-151.46091816487194
401.0,-133.38247854234743
402.0,-118.31157838917906
403.0,-107.76801478780996
404.0,-128.48965363530567
405.0,-102.82378847007305
406.0,-358.67521980545956
407.0,-157.69205809728675
408.0,-137.41579642707444
409.0,-158.38533035348144
410.0,-126.25558834777021
411.0,-137.5468699150113
412.0,-147.47006489343548
413.0,-113.85972143608114
414.0,-147.69214651213537
415.0,-129.40802302798107
416.0,-125.7336264553413
417.0,-130.4491824141778
418.0,-139.09124350544292
419.0,17.85975793144516
420.0,-97.63377346895493
421.0,-181.15522468898268
422.0,-128.56603596861606
423.0,-180.15941118236438
424.0,-134.9594789256634
425.0,-114.02260167044827
426.0,-126.79118579031643
427.0,-59.13043574521862
428.0,-333.1316930573938
429.0,-148.0997116473025
430.0,-144.61270182362756
431.0,-126.30289729938917
432.0,-137.59055075787316
433.0,-135.7855199516528
434.0,-162.17452727391128
435.0,-120.1207139181638
436.0,-118.13417553654199
437.0,-99.5423099573733
438.0,-117.54110083778386
439.0,-129.192570114356
440.0,-108.21679634059694
441.0,-364.2000004443888
442.0,-180.79035317036244
443.0,-122.76462530045487
444.0,-105.8371043906036
445.0,-133.43958412209298
446.0,-170.2235947971892
447.0,-188.31384504227242
448.0,-170.84881111801545
449.0,-107.71503747219273
450.0,-177.47688650283231
451.0,-156.54633166784816
452.0,-155.3611445711159
453.0,-127.00588670939413
454.0,-152.00005537931875
455.0,-154.48378088322505
456.0,-159.10933848592367
457.0,-178.55879536950766
458.0,-116.89042286979117
459.0,-101.4338673499652
460.0,-100.54446379196094
461.0,-157.60585167224627
462.0,-120.33567727083363
463.0,-143.47523896958046
464.0,-166.5746103859571
465.0,-174.77496603523844
466.0,-134.52436382561322
467.0,-37.28884198268835
468.0,-197.73405654497608
469.0,-90.28969230809906
470.0,-155.95135034411052
471.0,-145.53677579643244
472.0,-172.02462553297755
473.0,-93.03190259731286
474.0,-121.46395587271266
475.0,-155.22728374769957
476.0,-151.07642932034742
477.0,-136.940985737395
478.0,-123.90992481550026
479.0,-122.18277354646727
480.0,-112.55278950839642
481.0,-154.87205589139705
482.0,-152.83291159219633
483.0,-161.85306279406373
484.0,-129.52517004767458
485.0,-144.06461527239773
486.0,-315.6503903019935
487.0,-173.7220592459902
488.0,-118.46811495965946
489.0,-172.0236311394735
490.0,-132.76223127195183
491.0,-193.58391724242676
492.0,-126.03861474333542
493.0,-136.21029616333405
494.0,-142.88076393910742
495.0,-123.13076224888857
496.0,-147.32078513066443
497.0,-128.45372077467033
498.0,-137.63175371006483
499.0,-116.39005834216312
500.0,-96.83264256098366
501.0,-140.2051727502411
502.0,-122.41663893431837
